acctid,state,zip,rollout,cobal,collscr,cs,accessscr,lnacscr,bureauscr,eaglemod,numcalls,numrpcs,county,PctUnempl,MedIncome,IncomePctStateAvg,PctPoverty,Pct_ltHS,Pct_HS,Pct_SomeCollege,Pct_BachPlus,Pct_AnyDebtCollections,MedianDebtCollections,Pct_AutoLoan,Pct_AutoLoanCollections,Pct_CCLoanCollections,Pct_EduLoan,MedianEduLoan,Pct_EduLoanCollections,MedianMedDebt,Pct_MedDebtCollections,Pct_NoHealthIns
5509,WA,98513,Bank_Of_Am,4215,05012814,5,0.5737,-0.56,83,34,20,3,53067,4.7,81544,96.9,9.9,5.816146973,21.75742007,36.23783225,36.1886007,15.95594,1891,31.61741,1.96475,2.23904,14.77806,20852,5.68266,400.5,5.06053,4.84346
5510,MO,65571,Wells,2045,01019548,1,0.3341,-1.1,135,12,158,1,29203,3.6,36683,59.3,21.5,14.24142608,46.42511141,24.06510366,15.26835885,35.2381,2428,34.28572,5.61798,4.80769,10.95238,17693.27143,9.564772714,819.6962025,18.09524,17.51508
5511,NY,14526,Discover,2501,04013017,4,0.3119,-1.16,96,19,36,3,36055,3.4,66003,88.9,13.3,8.907209275,23.0541885,28.08423825,39.95436397,21.45379,1898,36.83145,4.23613,3.48164,21.47533,22844,7.31903,414,3.7163,3.23169
5512,CA,91754,Wells,1229,05012850,5,0.5434,-0.61,125,58,28,5,06037,4.9,77356,91.2,14.1,19.95716305,20.39096448,25.60750331,34.04436916,22.26986,1860.5,25.77181,3.16442,2.94676,12.15225,19053,7.82106,743,6.99388,8.96509
5513,SC,29334,Chase,3210,04013112,4,0.3412,-1.08,131,28,14,2,45083,3.1,60470,101.7,13.7,12.50108659,30.78559566,31.8177451,24.89557265,39.56725,1717,29.34897,6.86393,4.91573,15.24164,20638,9.69356,637.5,22.72424,10.09567
5514,CA,94110,Wells,1821,05012885,5,0.1576,-1.85,136,4,5,1,06075,2.5,119776,141.2,11.4,11.219663,11.37337094,17.89020986,59.5167562,11.11815,1572,13.95136,2.44989,1.55919,9.94967,21333,6.36717,580,3.44913,3.10433
5515,CA,95128,Wells,1050,06012697,6,0.3388,-1.08,124,8,12,6,06085,2.6,141161,166.4,6.9,10.81273363,13.69970623,21.09559113,54.391969,10.99841,1745,20.25755,2.2752,1.57985,7.38474,18404,5.53283,585.5,3.57075,3.66807
5516,OR,97408,Discover,4178,02013842,2,0.1113,-2.2,141,72,14,1,41039,4.6,61509,86.1,14.4,7.113270943,22.68949676,37.7277473,32.46948499,16.74562,1581,26.15308,1.90074,2.80702,16.08909,22198.5,9.50413,632,3.88099,5.79329
5517,TX,75023,Chase_Rev,899,07012406,7,0.1217,-2.11,119,72,96,4,48085,3.2,102119,152.5,6.6,6.102487371,14.69817881,25.76403229,53.43530153,22.93835,1866,32.76946,3.2479,2.3312,15.66387,22455,6.06592,718,12.01428,9.27706
5518,OH,45663,Chase_Rev,4457,06012761,6,0.9969,0,102,50,52,1,39145,5.1,43981,70.6,23.9,14.01475644,43.08146946,26.51137637,16.39239773,34.73105,1194.5,29.77552,3.39578,4.72028,16.17959,17343,11.25654,516.5,16.77255,5.53917
